yyyymm,permno,actual_ret,predicted_ret,decile
198606,10078,-0.118056,0.014816843115487546,5
198607,10078,-0.03937,0.008473749556338669,7
198609,10078,-0.00885,0.008783177675364635,8
198610,10078,0.348214,0.048903442808191054,10
198612,10078,0.109827,0.039358828466589696,10
198703,10078,0.09292,0.04764652791901973,9
198704,10078,0.165992,0.031009055387905632,9
198706,10078,-0.063218,0.014007267080885288,6
198707,10078,-0.150307,0.0029394047327420524,5
198708,10078,0.119134,0.016056182461227638,6
198709,10078,-0.064516,0.015005804179939106,7
198711,10078,-0.17037,-0.012600950334194606,7
198712,10078,0.196429,0.01777308616058697,10
198802,10078,-0.022388,-0.016523783165643804,4
198803,10078,0.091603,0.011008932052439645,9
198805,10078,-0.042553,0.007463107955754953,8
198806,10078,0.111111,0.02229510003077944,9
198808,10078,0.054608,0.02291454031254071,10
198809,10078,-0.087379,-5.554786051538592e-05,5
198810,10078,-0.191489,-0.00021586670301642838,4
198811,10078,-0.039474,0.0018270582523336083,4
198901,10078,0.142857,-0.031125104203096988,1
198902,10078,-0.065789,-0.03859033937518538,1
198903,10078,-0.091549,-0.026564437857541843,1
198905,10078,0.284672,0.008206282862964171,3
198906,10078,-0.227273,-0.04497953835843533,1
198907,10078,-0.147059,-0.0820946086135492,1
198908,10078,0.077586,-0.04783678708767624,1
198910,10078,0.090164,0.017644614027700428,7
198911,10078,-0.022556,-0.03729804069650877,1
199001,10078,0.123188,0.031113794605701916,9
199002,10078,0.154839,0.039934727765014215,10
199004,10078,0.088398,0.027410638265315465,9
199005,10078,0.233503,0.08566805181506076,10
199007,10078,-0.073529,0.021865735879260575,8
199008,10078,-0.087302,-0.007499393670528677,4
199010,10078,-0.268571,-0.04529852876364467,1
199011,10078,0.304688,-0.021214881723526997,2
199012,10078,0.023952,0.0036028948575857296,5
199101,10078,0.327485,0.018021117982235203,6
199102,10078,0.132159,0.012820966409382024,4
199104,10078,0.15748,0.08379410984630789,10
199105,10078,0.003401,0.020041345096191217,6
199107,10078,0.098655,0.04055709441339668,9
199109,10078,-0.062016,0.0013557326356925768,3
199110,10078,-0.181818,-0.027242183127123395,1
199112,10078,0.182292,0.038819235010799306,8
199201,10078,0.07489,-0.0048841844843295875,2
199203,10078,-0.17029,-0.0018273277599376693,4
199204,10078,-0.043668,-0.006515384142942056,4
199206,10078,-0.06278,0.00204131905557725,4
199207,10078,0.023923,0.006048131726271003,5
199208,10078,0.004673,-0.005901089010381861,4
199209,10078,0.162791,0.016999081758217988,7
199211,10078,-0.099291,0.0024178168816134772,3
199212,10078,0.059055,0.005840373581909749,4
199303,10078,-0.145907,-0.00834799361131143,2
199304,10078,-0.1,-0.0395137804481516,1
199306,10078,-0.0125,0.0009381503879949448,4
199308,10078,-0.117647,-0.012702272460161399,2
199309,10078,-0.085714,-0.02564342237444373,2
199311,10078,0.044118,0.005415871569162377,5
199312,10078,0.093897,0.008703470494799095,6
199401,10078,-0.090129,-0.01913214801532686,2
199402,10078,0.023585,0.0118421170357353,6
199403,10078,0.009217,-0.001804835312038647,5
199405,10078,-0.067039,0.0032535648552296445,4
199406,10078,-0.011976,-0.017055536819654996,3
199408,10078,0.191011,0.05648101562654314,10
199409,10078,0.108491,0.0417328297859619,10
199410,10078,0.114894,0.05505223076883249,10
199411,10078,0.022901,0.012308201424343124,7
199501,10078,-0.077465,0.03659522113343182,9
199502,10078,-0.022901,0.00665496852104277,4
199503,10078,0.085938,0.017715186666379754,5
199505,10078,0.128527,0.029300600296853517,7
199506,10078,0.077778,0.021839124813066955,6
199507,10078,-0.007732,0.049304144224681615,8
199508,10078,0.202597,0.053490503782014615,10
199510,10078,0.238095,0.10176901507289582,10
199511,10078,0.078526,0.04329619952547395,9
199601,10078,0.008219,-0.023231503944131746,2
199602,10078,0.141304,-0.015612926803705407,2
199604,10078,0.24,-0.001796277731927586,3
199605,10078,0.154378,-0.0345610858135814,1
199607,10078,-0.072187,-0.012880897814847206,3
199609,10078,0.142529,-0.014560611773719537,2
199610,10078,-0.018109,-0.06758640794104397,1
199612,10078,-0.118026,-0.05737029905197736,1
199701,10078,0.23601,-0.013448498487084105,2
199702,10078,-0.027559,-0.02458953828847794,1
199703,10078,-0.064777,-0.027813108039343965,2
199704,10078,-0.002165,-0.04236016739715168,1
199706,10078,0.15407,-0.03338292273111345,1
199707,10078,0.22754,0.013191619275078826,4
199709,10078,-0.029793,-0.002129359198713537,3
199710,10078,-0.268358,-0.04279030636768792,1
199712,10078,0.107639,-0.017478894434754148,2
